Intel(R) Core(TM) i5-3427U CPU @ 1.80GHz

test size (KB),  time (s)
1, 1.23
4, 1.23
8, 1.23
16, 1.23
32, 1.30
64, 2.63
128, 2.71
256, 2.77
512, 3.74
1024, 3.76
2048, 4.11
3072, 3.98
4096, 6.66
6144, 6.78
8192, 7.92
10240, 5.46
12288, 7.44


-----------------------
1, 4.19
4, 4.79
8, 4.39
16, 4.40
32, 4.49
64, 6.68
128, 7.22
256, 8.24
512, 14.93
1024, 15.59
2048, 20.50
3072, 40.59
4096, 56.35
6144, 66.29
8192, 72.00
10240, 77.33
12288, 82.12

4.38
4.23
4.33
4.27
4.27
6.85
6.82
7.45
14.49
14.83
24.11
52.82
59.59
70.86
79.52
81.15
82.75
